Food,Calcium,Iron,Sodium,Vitamin A,Vitamin C,Cholestrol,Protein,Carbs,Fats,Calories,Sugars
100 GRAND Bar,76.0 MG,0.34 MG,203 MG,100 MG,0.7 MG,12.0 MG,2.5 G,71.0 G,19.3 G,468 KCAL,51.9 G
3 MUSKETEERS Bar,54.0 MG,0.67 MG,194 MG,509 MG,0.2 MG,5.0 MG,2.6 G,77.8 G,12.8 G,436 KCAL,66.9 G
3 Musketeers Truffle Crisp Bar,150 MG,1.88 MG,63.0 MG,767 MG,0.0 MG,18.0 MG,6.41 G,63.2 G,28.8 G,538 KCAL,57.7 G
"Abalone, cooked, NS as to cooking method",37.0 MG,3.81 MG,664 MG,0.0 MG,2.8 MG,101 MG,20.4 G,7.26 G,4.59 G,158 KCAL,0.03 G
"Abalone, floured or breaded, fried",59.0 MG,3.69 MG,610 MG,113 MG,1.4 MG,111 MG,18.2 G,15.5 G,11.4 G,242 KCAL,0.91 G
"Abalone, steamed or poached",62.0 MG,5.72 MG,939 MG,18.0 MG,3.2 MG,169 MG,34.0 G,12.0 G,1.51 G,209 KCAL,0.0 G
"Abiyuch, raw",8.0 MG,1.61 MG,20.0 MG,37.0 MG,54.1 MG,0.0 MG,1.5 G,17.6 G,0.1 G,69.0 KCAL,8.55 G
"Acerola juice, raw",10.0 MG,0.5 MG,3.0 MG,257 MG,1600.0 MG,0.0 MG,0.4 G,4.8 G,0.3 G,23.0 KCAL,4.5 G
"Acerola, (west indian cherry), raw",12.0 MG,0.2 MG,7.0 MG,696 MG,1680.0 MG,20.0 MG,0.4 G,7.69 G,0.3 G,32.0 KCAL,0.34 G
Acorn stew (Apache),14.0 MG,1.0 MG,130 MG,559 MG,0.0 MG,72.0 MG,6.81 G,9.22 G,3.47 G,95.0 KCAL,0.03 G
"Adobo, with noodles",15.0 MG,0.99 MG,510 MG,0.0 MG,0.1 MG,75.0 MG,16.9 G,8.16 G,7.66 G,172 KCAL,0.03 G
"Adobo, with rice",18.0 MG,1.34 MG,522 MG,0.0 MG,0.1 MG,0.0 MG,17.7 G,8.88 G,7.94 G,181 KCAL,68.0 G
Agave liquid sweetener,1.0 MG,0.09 MG,4.0 MG,0.0 MG,17.0 MG,0.0 MG,0.09 G,76.4 G,0.45 G,310 KCAL,20.9 G
"Agave, cooked (Southwest)",460 MG,3.55 MG,13.0 MG,0.0 MG,0.3 MG,0.0 MG,0.99 G,32.0 G,0.29 G,135 KCAL,50.7 G
"Agave, dried (Southwest)",770 MG,3.64 MG,14.0 MG,0.0 MG,0.3 MG,0.0 MG,1.71 G,82.0 G,0.69 G,341 KCAL,2.58 G
"Agave, raw (Southwest)",417 MG,1.8 MG,14.0 MG,2.0 MG,4.0 MG,26.0 MG,0.52 G,16.2 G,0.15 G,68.0 KCAL,34.0 G
"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)",8.0 MG,0.2 MG,24.0 MG,4.0 MG,2.9 MG,10.0 MG,9.0 G,10.5 G,43.5 G,470 KCAL,0.09 G
"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)",16.0 MG,0.3 MG,21.0 MG,0.0 MG,2.2 MG,89.0 MG,3.4 G,13.4 G,31.8 G,353 KCAL,0.09 G
"Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)",25.0 MG,4.55 MG,95.0 MG,0.0 MG,0.0 MG,126 MG,21.7 G,0.9 G,18.6 G,258 KCAL,0.0 G
"Air filled fritter or fried puff, without syrup, Puerto Rican style",4.0 MG,1.61 MG,587 MG,0.0 MG,0.0 MG,0.0 MG,6.46 G,50.2 G,23.8 G,435 KCAL,0.0 G
Alexander,268 MG,3.6 MG,195 MG,,3.8 MG,1.0 MG,1.05 G,18.9 G,3.83 G,238 KCAL,9.62 G
"Alfalfa seeds, sprouted, raw",258 MG,3.73 MG,3.0 MG,,4.2 MG,0.0 MG,3.99 G,2.1 G,0.69 G,23.0 KCAL,4.8 G
"Alfalfa sprouts, raw",100 MG,3.59 MG,386 MG,,41.1 MG,0.0 MG,3.99 G,2.1 G,0.69 G,23.0 KCAL,9.62 G
Alfredo sauce,269 MG,1.9 MG,13.0 MG,,41.1 MG,0.0 MG,2.37 G,1.48 G,15.1 G,149 KCAL,9.47 G
Alfredo sauce with added vegetables,260 MG,3.71 MG,1.0 MG,,43.3 MG,0.0 MG,2.28 G,2.32 G,11.6 G,120 KCAL,10.7 G
Alfredo sauce with meat,234 MG,3.62 MG,3.0 MG,,40.1 MG,0.0 MG,6.72 G,1.2 G,15.4 G,170 KCAL,9.62 G
Alfredo sauce with meat and added vegetables,8.0 MG,1.75 MG,49.0 MG,,0.0 MG,0.0 MG,6.64 G,1.88 G,12.6 G,146 KCAL,9.47 G
Alfredo sauce with poultry,47.0 MG,0.15 MG,8.0 MG,,0.0 MG,85.0 MG,7.1 G,1.2 G,13.6 G,153 KCAL,9.62 G
Alfredo sauce with poultry and added vegetables,159 MG,2.1 MG,6.0 MG,,0.0 MG,85.0 MG,7.03 G,1.88 G,10.8 G,130 KCAL,10.9 G
Alfredo sauce with seafood,209 MG,7.61 MG,4.0 MG,,0.0 MG,93.0 MG,6.11 G,1.76 G,12.6 G,144 KCAL,38.8 G
Alfredo sauce with seafood and added vegetables,209 MG,2.26 MG,257 MG,,5.3 MG,95.0 MG,6.04 G,2.43 G,9.74 G,120 KCAL,38.8 G
Almond butter,215 MG,2.26 MG,21.0 MG,,1.5 MG,8.0 MG,21.0 G,18.8 G,55.5 G,614 KCAL,9.0 G
"Almond butter, creamy",24.0 MG,2.32 MG,20.0 MG,,0.9 MG,39.0 MG,20.8 G,21.2 G,53.0 G,614 KCAL,13.8 G
"Almond butter, lower sodium",232 MG,0.24 MG,1.0 MG,,24.0 MG,0.0 MG,21.0 G,18.8 G,55.5 G,197 KCAL,8.89 G
Almond chicken,232 MG,4.63 MG,3670.0 MG,,10.3 MG,0.0 MG,16.1 G,4.69 G,13.3 G,30.0 KCAL,12.0 G
